"번호","과정","레벨","단계","학년","id","문법 이름","문장 틀","한 줄 설명","예문 1","예문 2","예문 3","예문 4","예문 5","예문 6","예문 7","예문 8","이럴 때 써요","쉽게 이해하기","예문 해석","규칙","틀리기 쉬운 것 (✗ → ✓)","한 줄 정리","단어장 바꾸기 틀","넣을 카테고리","검수 메모"
"105","5형식","5형식","grow","5형식","forms-2","2형식 (주어 + 동사 + 보어)","[주어] [동사] [보어]","동사 뒤의 말(보어)이 주어가 누구인지, 어떤 상태인지 채워 줘요. 주어 = 보어 관계예요.","My sister is a teacher.","He became a famous singer.","The leaves turned red.","This milk smells bad.","Please stay calm.","","","","신분·직업을 말할 때: She is a doctor.
상태·변화·느낌을 말할 때: He became famous. / It smells good.","보어 자리에는 명사나 형용사가 와요. 부사는 올 수 없어요.
be(이다) · become/get/turn/grow(되다) · look/sound/smell/taste/feel(감각) · keep/stay/remain(유지)
""~하게""로 해석돼도 형용사를 써요: It tastes good. (well ✗)","1. 우리 언니는 선생님이다. (언니 = 선생님)
2. 그는 유명한 가수가 되었다.
3. 나뭇잎이 빨갛게 변했다.
4. 이 우유 냄새가 이상해. (bad: 형용사 보어)
5. 침착하세요.","S + V + C(명사 / 형용사)
주어 = 보어","✗ This soup tastes well. → ✓ This soup tastes good. (보어 자리에는 형용사)
✗ She became happily. → ✓ She became happy. (보어는 부사 ✗)","동사 뒤의 말이 주어를 설명하면(주어 = 그것) 2형식이에요.","I feel {adj}.","감정, 상태",""
"106","5형식","5형식","grow","5형식","forms-3","3형식 (주어 + 동사 + 목적어)","[주어] [동사] [목적어]","동사 뒤에 ""~을/를""에 해당하는 대상(목적어)이 하나 와요. 가장 흔한 문장이에요.","I like chocolate.","She wants to be a vet.","We enjoyed watching the show.","I think that he is right.","They discussed the problem.","","","","무엇을 좋아하는지, 먹는지, 만드는지처럼 행동의 대상을 말할 때","목적어 자리에는 명사, 대명사(목적격), to부정사, 동명사, that절이 올 수 있어요.
목적어 앞에 전치사를 넣지 않는 동사에 주의: discuss, marry, enter, reach, resemble","1. 나는 초콜릿을 좋아해.
2. 그녀는 수의사가 되기를 원해. (목적어: to부정사)
3. 우리는 쇼 보는 것을 즐겼어. (목적어: 동명사)
4. 나는 그가 옳다고 생각해. (목적어: that절)
5. 그들은 그 문제를 의논했다. (discuss about ✗)","S + V + O
목적어: 명사 · 목적격 대명사 · to부정사 · 동명사 · that절","✗ Let's discuss about it. → ✓ Let's discuss it. (discuss는 바로 목적어)
✗ He married with her. → ✓ He married her. (marry도 바로 목적어)","동사 뒤의 말을 ""~을/를""로 해석할 수 있으면 3형식이에요.","I like {nouns}.","동물, 음식, 장난감",""
"107","5형식","5형식","grow","5형식","forms-4","4형식 (주어 + 동사 + ~에게 + ~을)","[주어] [동사] [~에게] [~을]","""누구에게 무엇을"" 주는 동사가 목적어 두 개를 가져요.","My dad bought me a bike.","She showed us her photos.","Can you lend me your pen?","He told me the truth.","I asked him a question.","","","","주다·보내다·보여 주다·가르치다·사 주다처럼 무엇을 건네는 행동을 말할 때","간접목적어(~에게, 주로 사람) + 직접목적어(~을, 주로 물건) 순서예요.
3형식으로 바꾸면: 직접목적어 + to/for/of + 간접목적어
to: give, send, show, teach, tell, lend / for: buy, make, cook, get / of: ask
explain, say, suggest는 4형식으로 못 써요: explain it to me","1. 아빠가 나에게 자전거를 사 주셨어. (= bought a bike for me)
2. 그녀는 우리에게 사진을 보여 줬어.
3. 나에게 펜 좀 빌려줄래?
4. 그는 나에게 사실을 말했어.
5. 나는 그에게 질문을 했어. (= asked a question of him)","S + V + IO + DO
→ S + V + DO + to/for/of + IO","✗ She bought a bike to me. → ✓ She bought a bike for me. (buy는 for)
✗ He explained me the rule. → ✓ He explained the rule to me. (explain은 4형식으로 못 써요)","""~에게 ~을""로 해석되는 두 말이 나란히 있으면 4형식이에요.","(바꾸기 안 함)","",""
"108","5형식","5형식","grow","5형식","forms-5","5형식 (주어 + 동사 + 목적어 + 목적격 보어)","[주어] [동사] [목적어] [목적격 보어]","목적어 뒤에서 목적어가 어떤 상태인지, 무엇을 하는지 설명하는 말(목적격 보어)이 와요. 목적어 = 목적격 보어 관계예요.","The movie made me sad.","We call him Captain.","My mom told me to clean my room.","Keep your room clean.","I saw her dance on the stage.","","","","누군가를 어떤 상태로 만들 때: make me happy
무엇을 하라고 시키거나 부탁할 때: tell me to go
무엇이라고 부를 때: call him Captain","형용사 보어: make/keep/find + O + 형용사
명사 보어: call/name/elect + O + 명사
to부정사 보어: want/ask/tell/allow + O + to 동사
동사원형 보어: 사역(make/let/have), 지각(see/hear/watch) + O + 동사원형","1. 그 영화는 나를 슬프게 했다. (나 = 슬픈)
2. 우리는 그를 캡틴이라고 부른다. (그 = 캡틴)
3. 엄마가 나에게 방을 청소하라고 하셨다.
4. 방을 깨끗하게 유지해.
5. 나는 그녀가 무대에서 춤추는 것을 보았다.","S + V + O + OC(형용사 · 명사 · to부정사 · 동사원형)
목적어 = 목적격 보어","✗ The news made me sadly. → ✓ The news made me sad. (목적격 보어 자리에는 형용사)
✗ She told me clean my room. → ✓ She told me to clean my room. (tell + O + to부정사)","목적어 뒤의 말이 목적어를 설명하면(목적어 = 그것) 5형식이에요.","The story made me {adj}.","감정",""
"109","고등","고등·동사","bridge","고2","h-modal-perfect","조동사 + have p.p. (추측·후회)","It must have [p.p.]. / I should have [p.p.].","과거의 일에 대해 추측하거나 후회할 때 써요.","The ground is wet. It must have rained last night.","She may have missed the bus.","He can't have said that. He is too kind.","I should have studied harder.","You could have called me.","","","","""~했음이 틀림없다""처럼 과거를 강하게 추측할 때
""~했어야 했는데(안 했다)""처럼 후회할 때
""~했을 리가 없다""처럼 과거를 부정할 때","must have p.p.: ~했음이 틀림없다 (강한 확신)
may/might have p.p.: ~했을지도 모른다 (약한 추측)
can't have p.p.: ~했을 리가 없다
should have p.p.: ~했어야 했는데 (안 해서 후회)
could have p.p.: ~할 수도 있었는데 (안 했다)","1. 땅이 젖어 있네. 어젯밤에 비가 온 게 틀림없어.
2. 그녀는 버스를 놓쳤을지도 몰라.
3. 그가 그런 말을 했을 리 없어. 너무 착한 사람이거든.
4. 공부를 더 열심히 했어야 했는데. (실제로는 안 함)
5. 나한테 전화할 수도 있었잖아. (실제로는 안 함)","조동사 + have + 과거분사 = 과거에 대한 추측·후회
must(확신) · may/might(가능성) · can't(부정)
should have p.p. = 후회 · shouldn't have p.p. = 하지 말았어야 했는데","✗ I should studied harder. → ✓ I should have studied harder. (조동사 + have + p.p.)
✗ It must rain last night. → ✓ It must have rained last night. (과거 추측은 must have p.p.)","""have p.p.""가 붙으면 시간은 과거예요. 앞의 조동사가 확신·추측·후회 중 무엇인지 보세요.","(바꾸기 안 함)","",""
"110","고등","고등·동사","entry","고1","h-passive-advanced","수동태 심화 (4·5형식, 진행·완료, It is said)","I was given [ ]. / It is said that ….","4·5형식 문장, 진행·완료 시제의 수동태와 ""~라고 한다"" 표현이에요.","I was given a second chance.","The room is being cleaned now.","The bridge has been repaired.","He was elected class president.","It is said that the house is haunted.","","","","행동을 받는 쪽이 더 중요할 때
누가 했는지 모르거나 말할 필요가 없을 때
사람들이 흔히 하는 말을 전할 때 (It is said that …)","4형식 수동태: 사람이 주어 I was given a gift. / 물건이 주어 A gift was given to me.
5형식 수동태: He was elected captain. / 사역 make의 수동태는 to부정사: She was made to wait.
진행 수동태: be being p.p. (The room is being cleaned.)
완료 수동태: have been p.p. (The work has been done.)
It is said that S V = S is said to V","1. 나는 두 번째 기회를 받았다.
2. 방이 지금 청소되고 있다. (진행 수동)
3. 다리가 수리되었다. (완료 수동)
4. 그는 반장으로 뽑혔다. (5형식 수동)
5. 그 집에는 귀신이 나온다고 한다.","be + 과거분사 (+ by 행위자)
진행: be being p.p. · 완료: have been p.p.
It is said that S V = S is said to V","✗ She was made wait. → ✓ She was made to wait. (사역동사 make의 수동태는 to부정사)
✗ The room is cleaning now. → ✓ The room is being cleaned now. (방이 청소를 하는 게 아니라 ""되는"" 것)","주어가 ""하는"" 쪽인지 ""당하는"" 쪽인지 먼저 따져 보세요.","(바꾸기 안 함)","",""
"111","고등","고등·동사","grow","고1","h-have-pp","have/get + 목적어 + 과거분사","I had my hair cut.","내가 직접 하지 않고 남에게 맡겨서 ""~되게 하다"", 또는 원치 않게 ""~당하다""를 말해요.","I had my hair cut yesterday.","She got her car washed.","We had the roof repaired.","He had his wallet stolen on the bus.","You should get your eyes checked.","","","","미용실·수리점처럼 남이 해 준 일을 말할 때
도둑맞다·다치다처럼 원치 않는 일을 당했을 때","have/get + 목적어 + 과거분사: 목적어가 ~되게 하다 (I had it fixed.)
사람에게 시킬 때는 have + 사람 + 동사원형 / get + 사람 + to부정사 (I had him fix it.)
목적어와 과거분사는 ""수동"" 관계예요. my hair가 cut ""되는"" 것","1. 나는 어제 머리를 잘랐다. (미용사가 잘라 줌)
2. 그녀는 세차를 맡겼다.
3. 우리는 지붕을 수리받았다.
4. 그는 버스에서 지갑을 도둑맞았다.
5. 너 눈 검사 받아 봐야겠다.","have/get + 목적어(사물) + 과거분사
have + 사람 + 동사원형 · get + 사람 + to부정사","✗ I had my car wash. → ✓ I had my car washed. (차는 ""씻겨지는"" 것 → 과거분사)
✗ I got him fix my bike. → ✓ I got him to fix my bike. (get + 사람 + to부정사)","목적어가 스스로 그 행동을 할 수 없으면 과거분사를 쓰세요.","(바꾸기 안 함)","",""
"112","고등","고등·준동사","entry","고1","h-inf-subject-tense","to부정사의 의미상 주어·완료부정사","It is hard for me to [ ]. / He seems to have [p.p.].","to부정사의 행동을 누가 하는지, 언제 일어난 일인지 표시하는 방법이에요.","It is hard for me to wake up early.","It was kind of you to help me.","This book is too difficult for children to read.","He seems to have been sick yesterday.","I decided not to go.","","","","문장의 주어와 to부정사 행동을 하는 사람이 다를 때
to부정사의 일이 문장 동사보다 먼저 일어났을 때","의미상 주어: for + 목적격 (It is easy for me to swim.)
사람의 성격을 말하는 형용사(kind, nice, wise, foolish)는 of + 목적격 (It is kind of you to help.)
완료부정사 to have p.p.: 문장 동사보다 이전의 일 (He seems to have been sick. = It seems that he was sick.)
부정은 to 바로 앞에 not: I decided not to go.","1. 나는 일찍 일어나는 게 힘들어. (일어나는 사람 = 나)
2. 도와줘서 정말 고마워. (친절한 사람 = 너)
3. 이 책은 아이들이 읽기에 너무 어렵다.
4. 그는 어제 아팠던 것 같다. (아팠던 건 과거)
5. 나는 가지 않기로 결정했다.","for + 목적격 + to부정사
성격 형용사 → of + 목적격
to have p.p. = 한 시제 앞의 일
not / never + to부정사","✗ It was kind for you to help me. → ✓ It was kind of you to help me. (성격 형용사는 of)
✗ I decided to not go. → ✓ I decided not to go. (not은 to 앞에)","""누가 그 행동을 하지?""에 대한 답이 for/of 뒤에 와요.","(바꾸기 안 함)","",""
"113","고등","고등·준동사","entry","고1","h-gerund-idioms","동명사 관용 표현 (look forward to -ing)","I look forward to [ ]ing. / I am used to [ ]ing.","뒤에 꼭 동명사(-ing)가 오는, 통째로 외우는 표현들이에요.","I look forward to seeing you.","She is used to getting up early.","I couldn't help laughing.","He spent all day playing games.","I don't feel like eating now.","","","","기대·익숙함·어쩔 수 없음 같은 마음을 말할 때
시험에 자주 나오는 ""to + -ing"" 표현을 구별할 때","여기서 to는 전치사라서 뒤에 동사원형이 아니라 -ing가 와요: look forward to, be used to, object to
cannot help -ing: ~하지 않을 수 없다
be busy -ing: ~하느라 바쁘다 · spend 시간 -ing: ~하는 데 시간을 쓰다
feel like -ing: ~하고 싶다 · It is no use -ing: ~해도 소용없다
used to + 동사원형(예전에 ~했다)과 be used to -ing(~에 익숙하다)는 뜻이 달라요.","1. 너를 만나기를 기대하고 있어.
2. 그녀는 일찍 일어나는 데 익숙하다.
3. 나는 웃지 않을 수 없었다.
4. 그는 하루 종일 게임을 하며 보냈다.
5. 지금은 먹고 싶지 않아.","look forward to · be used to · object to + -ing
cannot help -ing · be busy -ing · spend 시간 -ing · feel like -ing","✗ I look forward to see you. → ✓ I look forward to seeing you. (여기서 to는 전치사 → -ing)
✗ I am used to get up early. → ✓ I am used to getting up early. (be used to + -ing)","""to 뒤에 명사를 넣어도 말이 되면"" 그 to는 전치사예요. (look forward to the trip)","I look forward to {verb_ing}.","동작, 취미/오락, 일상생활, 스포츠",""
"114","고등","고등·준동사","grow","고1","h-participle-clause","분사구문","[ ]ing …, 주어 + 동사. / Having [p.p.], …","접속사와 주어를 줄이고 동사를 -ing로 바꿔 문장을 짧게 만든 거예요.","Walking down the street, I met an old friend.","Feeling tired, she went to bed early.","Having finished my homework, I watched TV.","Seen from the sky, the island looks like a heart.","Not knowing what to say, he just smiled.","","","","때·이유·동시 동작을 간단히 말할 때
이야기·설명하는 글에서 문장을 짧고 매끄럽게 할 때","만드는 법: ① 접속사 빼기 ② (두 문장 주어가 같으면) 주어 빼기 ③ 동사를 -ing로
When I walked home, I met Tom. → Walking home, I met Tom.
수동이면 (Being) p.p.: (Being) tired, I went to bed early.
먼저 일어난 일이면 Having p.p.: Having finished my homework, I watched TV.
부정은 Not을 맨 앞에: Not knowing what to do, I cried.","1. 길을 걷다가 옛 친구를 만났다. (= When I was walking …)
2. 피곤해서 그녀는 일찍 잤다. (= Because she felt tired …)
3. 숙제를 끝낸 뒤에 나는 TV를 봤다. (먼저 일어난 일)
4. 하늘에서 보면 그 섬은 하트 모양이다. (섬은 ""보이는"" 것)
5. 무슨 말을 할지 몰라서 그는 그냥 웃었다.","접속사 ✗ + 주어 ✗ + 동사ing
수동: (Being) + 과거분사
이전 시점: Having + 과거분사
부정: Not + 분사","✗ Walking down the street, a dog bit me. → ✓ Walking down the street, I was bitten by a dog. (분사구문의 주인공은 뒤 문장 주어와 같아야 해요)
✗ Seeing from the sky, the island looks like a heart. → ✓ Seen from the sky, the island looks like a heart. (섬은 보여지는 것 → 과거분사)","분사구문을 보면 앞에 when/because/while 중 무엇이 빠졌는지 넣어서 해석해 보세요.","(바꾸기 안 함)","",""
"115","고등","고등·준동사","bridge","고2","h-with-absolute","with + 명사 + 분사 (~한 채로)","with [명사] [분사]","""~한 채로, ~하면서""라는 뜻으로 동시에 벌어지는 모습을 덧붙여요.","He listened to music with his eyes closed.","She fell asleep with the TV on.","Don't talk with your mouth full.","He stood there with his arms folded.","The dog came in with its tail wagging.","","","","어떤 모습·자세로 행동했는지 그림처럼 설명할 때","명사가 스스로 하는 동작이면 -ing: with the dog **following** me
명사가 당하는 상태면 과거분사: with his eyes **closed**
분사 대신 형용사·전치사구도 와요: with your mouth **full**, with a book **in his hand**","1. 그는 눈을 감은 채 음악을 들었다.
2. 그녀는 TV를 켜 놓은 채 잠이 들었다.
3. 입에 음식을 가득 넣은 채 말하지 마.
4. 그는 팔짱을 낀 채 거기 서 있었다.
5. 개가 꼬리를 흔들면서 들어왔다.","with + 명사 + 현재분사(능동)
with + 명사 + 과거분사(수동)
with + 명사 + 형용사 / 전치사구","✗ with his eyes closing → ✓ with his eyes closed (눈은 ""감겨지는"" 것 → 과거분사)","""with + 명사"" 다음 말은 그 명사가 하는지(-ing) 당하는지(p.p.)만 보면 돼요.","(바꾸기 안 함)","",""
"116","고등","고등·관계사·접속사","entry","고1","h-relative-nonrestrictive","관계대명사 계속적 용법 (, which / , who)","[명사], which/who …","관계대명사 앞에 쉼표를 찍으면, 앞 명사에 대해 ""덧붙여 설명""하는 느낌이 돼요.","I met Jisu, who is my best friend.","He passed the exam, which surprised everyone.","My father, who is a pilot, travels a lot.","We visited Gyeongju, which is famous for its history.","She lent me a book, which I read in one night.","","","","이미 누구인지 아는 명사에 정보를 더할 때
앞 문장 전체를 받아 ""그런데 그것은""이라고 이어 갈 때 (, which)","쉼표 없는 관계대명사(한정적 용법): 여러 개 중 ""어떤 것""인지 좁혀 줘요.
쉼표 있는 관계대명사(계속적 용법): ""그런데 그 사람/그것은""처럼 앞에서부터 순서대로 해석해요.
계속적 용법에는 that을 쓸 수 없어요.
, which는 앞 문장 전체를 받을 수 있어요.","1. 나는 지수를 만났는데, 그녀는 내 가장 친한 친구야.
2. 그는 시험에 합격했는데, 그게 모두를 놀라게 했다. (which = 앞 문장 전체)
3. 우리 아빠는 조종사인데, 여행을 많이 하신다.
4. 우리는 경주에 갔는데, 그곳은 역사로 유명하다.
5. 그녀가 나에게 책을 빌려줬는데, 나는 그걸 하룻밤에 다 읽었다.",", who(사람) · , which(사물 · 앞 문장 전체)
계속적 용법에 that ✗
해석: 앞에서부터 ""그리고/그런데 그는/그것은""","✗ I met Jisu, that is my best friend. → ✓ I met Jisu, who is my best friend. (계속적 용법에는 that을 못 써요)","쉼표가 보이면 끊어서 앞에서부터 차례로 해석하세요.","(바꾸기 안 함)","",""
"117","고등","고등·관계사·접속사","grow","고2","h-prep-relative","전치사 + 관계대명사 (in which)","the house in which I live","관계대명사가 전치사의 목적어일 때, 전치사를 관계대명사 앞으로 옮긴 모양이에요.","This is the house in which I grew up.","The person to whom I spoke was very kind.","I remember the day on which we first met.","This is the pen with which he wrote the letter.","The topic about which we talked was interesting.","","","","격식 있는 글에서 뜻을 분명히 할 때","This is the house. + I live in the house. → the house which I live in → the house in which I live
전치사 + which(사물) / whom(사람)으로 써요. 전치사 + that, 전치사 + who는 안 돼요.
in which = where, on which = when처럼 관계부사로 바꿀 수 있어요.","1. 이곳은 내가 자란 집이야. (= where I grew up)
2. 내가 말을 건 사람은 매우 친절했다.
3. 나는 우리가 처음 만난 날을 기억해. (= when)
4. 이게 그가 편지를 쓴 펜이야.
5. 우리가 이야기한 주제는 흥미로웠다.","전치사 + which(사물) / whom(사람)
전치사 + that ✗
in which ≒ where · on which ≒ when","✗ the house in that I live → ✓ the house in which I live (전치사 뒤에는 that ✗)
✗ the person to who I spoke → ✓ the person to whom I spoke (전치사 뒤 사람은 whom)","뒤 문장 끝에 전치사가 ""남아 있는"" 느낌이면, 그 전치사를 앞으로 옮긴 거예요.","(바꾸기 안 함)","",""
"118","고등","고등·관계사·접속사","grow","고2","h-compound-relative","복합관계사 (whoever / whatever / however)","Whoever [ ] … / Whatever [ ] … / However [형용사] …","관계사에 -ever를 붙여 ""누구든지, 무엇이든지, 아무리 ~해도""라는 뜻을 만들어요.","Whoever finishes first will get a prize.","You can eat whatever you want.","Whatever happens, I will be on your side.","However hard it is, don't give up.","Come whenever you like.","","","","정해지지 않은 대상을 모두 포함할 때
""아무리 ~하더라도"" 양보를 말할 때","명사절: Whoever comes first wins. (누구든지 ~하는 사람)
양보 부사절: Whatever you do, do your best. (무엇을 하더라도)
whoever = anyone who · whatever = anything that
however + 형용사/부사 + 주어 + 동사: 아무리 ~해도","1. 누구든 먼저 끝내는 사람이 상을 받을 거야.
2. 원하는 건 뭐든 먹어도 돼.
3. 무슨 일이 일어나더라도 나는 네 편이야.
4. 아무리 힘들어도 포기하지 마.
5. 오고 싶을 때 언제든 와.","whoever · whatever · whichever: ~든지 / ~하더라도
however + 형용사/부사 + S + V: 아무리 ~해도
wherever · whenever: 어디든 / 언제든","✗ However it is hard, don't give up. → ✓ However hard it is, don't give up. (however 바로 뒤에 형용사/부사)","-ever가 붙으면 ""~든지, ~하더라도""로 해석하면 거의 맞아요.","(바꾸기 안 함)","",""
"119","고등","고등·관계사·접속사","entry","고1","h-noun-clause","명사절 that / whether · 동격의 that","That [ ] is … / I wonder whether [ ]. / the fact that …","문장 하나를 통째로 명사처럼 써서 ""~라는 것"", ""~인지""를 말해요.","That he lied is clear.","It is surprising that she won.","I wonder whether he will come.","Whether we go or not depends on the weather.","I heard the news that our team won.","","","","생각·사실을 문장으로 전할 때
확실하지 않은 것을 ""~인지 아닌지""로 말할 때
news, fact, idea 같은 명사의 내용을 풀어 줄 때 (동격)","that절: ~라는 것. 주어가 길면 It ~ that으로 바꿔 써요. (It is true that …)
whether/if절: ~인지 (아닌지). 주어 자리나 전치사 뒤에는 whether만 써요.
동격의 that: the fact/news/idea + that + 완전한 문장 = ""~라는 사실/소식/생각""
관계대명사 that 뒤에는 빠진 자리가 있고, 명사절·동격 that 뒤에는 완전한 문장이 와요.","1. 그가 거짓말했다는 것은 분명하다.
2. 그녀가 이겼다는 것은 놀랍다. (It = that절)
3. 그가 올지 궁금해.
4. 우리가 갈지 말지는 날씨에 달려 있다. (주어 자리 → whether)
5. 나는 우리 팀이 이겼다는 소식을 들었다. (동격)","that + 완전한 문장 = ~라는 것
whether/if + 문장 = ~인지 (주어 자리에는 whether만)
fact · news · idea + that + 완전한 문장 = 동격","✗ If we go or not depends on the weather. → ✓ Whether we go or not depends on the weather. (주어 자리에는 whether)","that 뒤 문장이 빠짐없이 완전하면 명사절(또는 동격), 빠진 자리가 있으면 관계대명사예요.","(바꾸기 안 함)","",""
"120","고등","고등·관계사·접속사","entry","고1","h-correlative","상관접속사와 수 일치 (not only A but also B)","not only A but also B / either A or B / neither A nor B","두 단어가 짝을 이루어 A와 B를 연결하는 접속사예요.","Both my mom and my dad are teachers.","You can either stay or leave.","Neither he nor I was there.","She is not only smart but also kind.","The students as well as the teacher are excited.","","","","둘 다(both), 둘 중 하나(either), 둘 다 아닌(neither), A뿐 아니라 B도(not only)를 말할 때","both A and B: A와 B 둘 다 (늘 복수 취급)
either A or B: A나 B 둘 중 하나
neither A nor B: A도 B도 아닌
not only A but also B = B as well as A: A뿐만 아니라 B도
동사는 대부분 B(동사와 가까운 쪽)에 맞춰요. 단 B as well as A는 앞의 B에 맞춰요.","1. 우리 엄마와 아빠 둘 다 선생님이다.
2. 너는 남거나 떠나거나 할 수 있어.
3. 그도 나도 거기에 없었다. (I에 맞춰 was)
4. 그녀는 똑똑할 뿐만 아니라 친절하기도 하다.
5. 선생님뿐만 아니라 학생들도 신이 났다. (students에 맞춰 are)","both A and B → 복수
either A or B · neither A nor B · not only A but also B → B에 수 일치
B as well as A → B에 수 일치","✗ Neither he nor I were there. → ✓ Neither he nor I was there. (B(I)에 맞춰 was)
✗ Both Tom and Jane is here. → ✓ Both Tom and Jane are here. (both A and B는 복수)","짝꿍 단어(not only–but also, either–or)를 먼저 찾고, 동사는 뒤쪽 B를 보세요.","(바꾸기 안 함)","",""
"121","고등","고등·가정법·비교","entry","고2","h-subjunctive-past-perfect","가정법 과거완료 · 혼합가정법","If I had [p.p.], I would have [p.p.].","과거에 실제로 일어난 일과 반대로 ""그때 ~했더라면 …했을 텐데""라고 상상해요.","If I had studied harder, I would have passed the test.","If you had told me, I could have helped you.","She would have come if she had known.","If I had taken the medicine, I would be fine now.","If it hadn't rained, we would have gone hiking.","","","","과거 일에 대한 후회·아쉬움을 말할 때
""그때 ~했다면 지금 …할 텐데""처럼 과거 상상이 현재에 영향을 줄 때 (혼합가정법)","가정법 과거: 현재 사실의 반대 → If + 과거동사, would + 동사원형
가정법 과거완료: 과거 사실의 반대 → If + had p.p., would have p.p.
혼합가정법: If + had p.p.(과거 반대), would + 동사원형 + now(현재 결과)
실제 사실로 바꿔 보기: If I had studied, I would have passed. → I didn't study, so I didn't pass.","1. 더 열심히 공부했더라면 시험에 합격했을 텐데. (실제: 공부 안 해서 떨어짐)
2. 네가 말해 줬더라면 내가 도울 수 있었을 텐데.
3. 알았더라면 그녀는 왔을 거야.
4. 그때 약을 먹었더라면 지금 괜찮을 텐데. (혼합가정법)
5. 비가 오지 않았더라면 우리는 등산을 갔을 텐데.","If + S + had p.p., S + would/could/might + have p.p.
혼합: If + had p.p., S + would + 동사원형 (now)","✗ If I studied harder, I would have passed. → ✓ If I had studied harder, I would have passed. (과거 반대는 If + had p.p.)
✗ If I had studied, I would pass then. → ✓ If I had studied, I would have passed. (과거 결과는 would have p.p.)","""실제로는 어땠지?""를 거꾸로 적어 보면 시제가 헷갈리지 않아요.","(바꾸기 안 함)","",""
"122","고등","고등·가정법·비교","grow","고2","h-wish-as-if","I wish / as if 가정법","I wish I [과거]. / He talks as if he [과거].","실제와 다른 소망이나, 실제와 다른데 그런 척하는 모습을 말해요.","I wish I had a pet.","I wish I had gone to the concert.","He talks as if he knew everything.","She looked as if she had seen a ghost.","I wish it were Friday today.","","","","지금 이루어지지 않는 바람: I wish I were taller.
과거에 대한 아쉬움: I wish I had gone.
실제는 아닌데 ""마치 ~인 것처럼"": as if","I wish + 과거동사(be는 were): 지금 ~라면 좋을 텐데
I wish + had p.p.: 그때 ~했더라면 좋았을 텐데
as if + 과거동사: 마치 (지금) ~인 것처럼 · as if + had p.p.: 마치 (그때) ~였던 것처럼
실제로 그럴 가능성이 있을 때는 as if + 현재도 써요: It looks as if it will rain.","1. 반려동물이 있으면 좋을 텐데. (실제: 없음)
2. 그 콘서트에 갔더라면 좋았을 텐데. (실제: 안 감)
3. 그는 마치 모든 걸 아는 것처럼 말한다. (실제: 모름)
4. 그녀는 마치 귀신을 본 것 같은 얼굴이었다.
5. 오늘이 금요일이면 좋을 텐데.","I wish + 과거 / had p.p.
as if + 과거 / had p.p.
be동사는 주로 were","✗ I wish I have a pet. → ✓ I wish I had a pet. (지금의 반대 소망은 과거형)","wish·as if 뒤에서 시제가 한 칸 과거로 가면 ""실제와 반대""라는 신호예요.","(바꾸기 안 함)","",""
"123","고등","고등·가정법·비교","bridge","고3","h-without-its-time","if 없는 가정법 (Without / It's time / 도치)","Without [ ], I would … / It's time we [과거].","if를 쓰지 않고도 가정법의 뜻을 만드는 표현들이에요.","Without water, nothing could live.","Without your help, I would have failed.","It's time we went home.","Were I you, I would take the job.","Had I known, I would have called you.","","","","""~이 없다면/없었다면""을 짧게 말할 때
""이제 ~해야 할 때다""라고 재촉할 때
격식 있는 글에서 if를 빼고 도치할 때","Without / But for + 명사 = If it were not for(현재) / If it had not been for(과거)
It's (high) time + 주어 + 과거동사 = 이제 ~할 때다
If를 생략하면 주어와 동사가 도치돼요: Were I you … = If I were you … / Had I known … = If I had known …","1. 물이 없다면 아무것도 살 수 없을 것이다.
2. 네 도움이 없었다면 나는 실패했을 거야.
3. 이제 집에 갈 시간이야.
4. 내가 너라면 그 일을 맡을 거야. (= If I were you)
5. 알았더라면 전화했을 텐데. (= If I had known)","Without + 명사, S + would + 원형(현재) / would have p.p.(과거)
It's time + S + 과거동사
If 생략 → Were / Had + 주어 …","✗ It's time we go home. → ✓ It's time we went home. (It's time + 과거동사)","if가 안 보여도 would/could have가 보이면 가정법인지 의심해 보세요.","(바꾸기 안 함)","",""
